Time,LOND_NEWY_in,LOND_NEWY_out,AMST_BOST_in,AMST_BOST_out,AOFA_LOND_in,AOFA_LOND_out,CERN-513_WASH_in,CERN-513_WASH_out
01/04/2018 17:00,1554353121,12252165478,5872108401,6125813314,27754050057,43705738183,2214924575,3899800606
01/04/2018 18:00,1014734333,10674273138,4808951335,5958760596,28640495016,22139704684,2540998552,7199594041
01/04/2018 19:00,701401736.2,21487573483,5981685342,7147668229,20641106671,21496225718,3755841142,1311676541
01/04/2018 20:00,5879411342,11084406291,6918748383,2430012914,22367423049,25541695452,3213186695,4652561874
01/04/2018 21:00,5956009999,7869877253,4512084377,5213337842,23666838184,27391923721,1254373039,4997890727
01/04/2018 22:00,1588824974,9266663019,5748611429,3532902499,29059506802,27289228413,1617485022,4212100387
01/04/2018 23:00,2114582492,15795243923,5851557362,4844237558,27695526731,28726381352,1391431134,1059426385
01/05/2018 00:00,2772624415,7061418504,6163761012,3243473938,26697386332,34347833330,2278005379,979157232.9
01/05/2018 01:00,3670959039,4249263411,6481067467,3433607768,30407540696,38246249502,2044544507,3399134736
01/05/2018 02:00,13039059399,6318319906,7249901970,6256167284,33718924199,29387733561,2263134286,1137516482
01/05/2018 03:00,14881283143,2733429269,7086775721,6374428806,31209878451,26629692693,3868919362,1628320564
01/05/2018 04:00,15476547546,11701359679,7939630733,4974542448,33500268969,26287738360,2898066970,1065015755
01/05/2018 05:00,7922312961,8706831716,6501199376,9547208765,37129555853,30723542469,2766879862,656158949.3
01/05/2018 06:00,7658511834,8843973940,6016321656,6783289696,31284517914,24016062098,1112694119,1144411238
01/05/2018 07:00,7077084772,5279643149,6561052960,5488230801,46933345624,23380871827,652150910.1,8377442699
01/05/2018 08:00,9442753264,15857644719,5872706727,8021948570,38097662478,20196012563,1506774398,4337568662
01/05/2018 09:00,9737951924,28972028657,4242741516,4691351830,27853142294,23082554009,774292498.3,845379552
01/05/2018 10:00,12199153151,6536725218,5319675223,4272300135,28949227833,27538140406,824500232.8,2170066925
01/05/2018 11:00,11301184832,6779587469,4800453187,3080559040,23110003633,32270654193,1246625107,650612490.8
01/05/2018 12:00,11380603131,2137497049,4192938232,4068852695,24662839895,28067851401,1154008904,997054026.1
01/05/2018 13:00,11902392924,4008137436,2906523680,3612173222,15599421332,28387921099,2837134607,2223686345
01/05/2018 14:00,11153886715,7670260313,4950682399,3879827735,27847347713,34350035540,2704008381,2050245160
01/05/2018 15:00,9320047422,12055547014,4490762854,4564719866,34199065781,34478434688,1153026187,5711937378
01/05/2018 16:00,10270334565,9775023905,3275437067,4932618268,38145811707,31660920044,1671994463,9696845570
01/05/2018 17:00,11651471159,4910630070,2116213623,4251330411,37436285969,35206005246,2857575833,7777004405
01/05/2018 18:00,11327939309,12218182779,2765507227,5040449722,37883660414,49128240471,898103330.9,7030221610
01/05/2018 19:00,10695340227,11851344510,2398049072,5842985365,33870829556,27474192183,966263419.7,1695098625
01/05/2018 20:00,8581384120,15792042527,3469179063,13289165767,34062134669,35907696467,875225379.5,1414980276
01/05/2018 21:00,5329708023,9658379196,4086044512,10312636605,34869967683,32756477769,571002315.2,4333117153
01/05/2018 22:00,5580532040,11748839236,2845839632,8099602177,32817507505,28045685424,874484073.1,6668320953
01/05/2018 23:00,3035262264,11364241332,1609544068,9424984033,31076532306,30659547158,1064163815,684100323.9
01/06/2018 00:00,4084780873,7436335349,2530513980,4568525337,30329024906,33224892260,2349826595,1828066135
01/06/2018 01:00,2382636488,9894531163,3542562471,5830973947,32979736914,26284907500,2378743429,1078357014
01/06/2018 02:00,2800724422,13588828180,4691552053,6536864840,35779596058,26439580766,752804396.5,1901562139
01/06/2018 03:00,6494783412,9776952379,3513584790,3857149424,39446907509,27498498685,463733167.4,2180461224
01/06/2018 04:00,7645531583,6787369977,3702884631,3643235841,37555791925,38192349817,1871263576,1146479784
01/06/2018 05:00,6238094123,14130266218,4758140439,10218697339,44418636699,46941397930,1270477035,2947782806
01/06/2018 06:00,5786623683,12697111236,4981194590,14616285814,45641903023,31664232500,1386962209,4187439392
01/06/2018 07:00,6311032950,10919157211,4771019167,6039653665,44893330188,27418489677,1551449993,3909884400
01/06/2018 08:00,13118841837,13858375110,7186566104,3221476817,43640226154,25991361018,1056520247,583992772.8
01/06/2018 09:00,2014751761,16821483317,4205174841,5212397304,42812480753,29776845393,1587703930,3719300251
01/06/2018 10:00,1798851913,14453689334,2985502850,5080477581,34305847004,26683612738,1212196399,5869960040
01/06/2018 11:00,1694979643,9295215521,2999346446,5467224266,33409071644,25509005021,2822255956,23473165838
01/06/2018 12:00,1999459755,12873603766,5616177524,8563679732,28625574866,30022266321,1892006311,4855063451
01/06/2018 13:00,1635904050,9711139105,3729093786,7077705352,28311366937,40543567689,303608230.9,653903086.5
01/06/2018 14:00,1898101222,11281798866,4704705691,4817772276,27684578045,40183878496,315741835.8,762708395.9
01/06/2018 15:00,2611770088,7664255847,3298208018,8516635808,30109938075,40951731243,1727155231,791921974
01/06/2018 16:00,2171930336,26846479619,2384826921,6111321280,30466775490,40356847798,1919819622,2208125715
01/06/2018 17:00,2454245995,14727953997,4630212930,7306641787,31232117373,38451102568,1515016041,1387195365
01/06/2018 18:00,4958115328,6056202958,4803886993,6846233573,25005645721,28541864338,819895075.8,1812757003
01/06/2018 19:00,1224184691,6820793373,5095744664,2726271747,22061940045,21701374036,1831305882,6400286027
01/06/2018 20:00,8383164562,16861610193,6783355323,3491181753,30058673239,29831812895,1248346691,14715943698
01/06/2018 21:00,7253909092,21633568435,4357380194,3745623515,27292640364,37203276171,1994716510,2760703883
01/06/2018 22:00,6727261729,11598771574,2999713688,5377389530,22956684414,29212196290,1364772768,704114295.9
01/06/2018 23:00,8117100261,18268327342,3840787486,2016284981,20815994561,39914163955,1618584160,7419173300
01/07/2018 00:00,7057392005,16102826476,4117778487,2268078397,25166092294,48578523120,1815047678,4254967920
01/07/2018 01:00,8637488141,14210235598,4270175928,2037730901,24404350462,26164939508,1326832108,1660090301
01/07/2018 02:00,9162235985,17162567582,2063178519,3463070652,22938668928,32949327696,1325794685,2611615251
01/07/2018 03:00,5730392408,15743410852,2226953132,3964252930,18213233952,31180501005,1458255858,2105646271
01/07/2018 04:00,3627502212,23483950950,2790050591,2621345207,17097720243,28017830283,2073600810,2984553882
01/07/2018 05:00,2069878517,14329683175,3599679445,4836250655,16555080976,33353103998,3150195712,1774997480
01/07/2018 06:00,2170421551,33686996671,3041310135,4000713404,17667335225,33539689529,2458705892,5498056974
01/07/2018 07:00,2870193263,20438340329,2750887792,2810003011,16440571570,31772344402,1147468050,1710150330
01/07/2018 08:00,6667119945,6398601234,2853678970,4977369814,16706433363,27663724418,1576398967,672847703.2
01/07/2018 09:00,2540266902,31131132731,2891446729,1703285374,13710747380,33470340971,2361694621,5275229894
01/07/2018 10:00,2276549928,20724629246,4189348205,4173949436,16104327809,31485172578,2241730199,4767265140
01/07/2018 11:00,3576641279,14633463969,3710591215,3817724906,18620049066,28764944041,949054243,1025823620
01/07/2018 12:00,6740761531,12097174230,3134817529,2325613598,20686200622,26382325266,2047041158,5239901530
01/07/2018 13:00,5833479919,13167222278,2792044331,4170144721,18024026265,27031404424,1074869057,1332155759
01/07/2018 14:00,7056665137,14692064926,3550332507,4015352492,18819261657,34309664615,1363683561,9801378685
01/07/2018 15:00,8696586209,8345780961,3562438074,1932716552,17943417072,25069104209,787508161.3,1935252495
01/07/2018 16:00,8995607300,18052785265,2666476998,1428073773,16954801432,21567912185,2680694551,891180774.3
01/07/2018 17:00,8447605537,13382070870,3834552394,1546245429,16949394104,22132333497,2916650484,4429346729
01/07/2018 18:00,10429074307,7387558355,4730098931,1381918295,16100961610,24525022039,1260476530,1096185784
01/07/2018 19:00,3804991752,12505618791,8035420266,2682801463,21847174364,27232641919,1932293980,10753588688
01/07/2018 20:00,6701332443,5549917517,6494327578,1837569263,18263562657,25163368452,1618416540,1409911984
01/07/2018 21:00,8151181103,10134158044,2774404639,3132436727,19622016303,28062471401,1867389789,1920463449
01/07/2018 22:00,13195058988,8950713660,3100755919,1858427959,18053299836,22549030361,1284379397,1510110807
01/07/2018 23:00,10050448578,12268304848,4862727250,2280002977,19867794862,32464461220,1105322148,10041194808
01/08/2018 00:00,9372925079,24717132127,4742572419,1446786964,23699920576,32824708819,2819728744,4015677062
01/08/2018 01:00,6120187559,18877591997,4236409186,1138735597,16514436206,26730591587,878156494.5,2093240944
01/08/2018 02:00,3630825158,18865688726,3539544104,1225053063,17667702247,28057166003,973481981.6,1540498582
01/08/2018 03:00,10046590495,21642828925,3732922652,1283708400,21227349517,23014731197,3004578047,13727884336
01/08/2018 04:00,6714960598,15059463889,4431544453,664549150.3,12563311129,28392917041,3943845847,3204231865
01/08/2018 05:00,10404002877,17580161713,5383124477,4437086305,34440407107,39351946480,11544064218,1488537002
01/08/2018 06:00,13421699462,10304127624,6164310628,4005162593,37189211989,32520070215,9706550739,5599404414
01/08/2018 07:00,14496422069,14714833193,5593528055,4033376088,35799766231,28121850130,2104445185,5184801877
01/08/2018 08:00,17012255319,6690827649,5271715520,2828904343,23718281670,28915783032,1736530430,3099484173
01/08/2018 09:00,28684908449,8036821244,5000179223,6116541471,26416051988,34937310255,1117762830,2087697404
01/08/2018 10:00,26776130831,11428154590,4968305719,5104494709,23715777315,38055534473,3503639746,630950410.2
